,NMI moyen,Erreur type NMI,AMI moyen,Erreur type AMI,ARMI moyen,Erreur type ARMI,Temps moyen (s),Erreur type Temps,Temps moyen CPU (s),Erreur type Temps CPU
FROST,0.8275,0.0426,0.8042,0.0468,0.7714,0.06,17.35,3.27,17.31,3.28
KN,0.9277,0.0189,0.9176,0.0206,0.915,0.0198,97.96,16.11,97.83,16.07
KL_EM,0.951,0.0161,0.9431,0.0188,0.9434,0.0175,121.45,22.0,121.23,21.88
MHA250k,0.915,0.0204,0.9058,0.0226,0.9008,0.0229,254.55,7.65,254.1,7.56
FROST_SVCA,0.9988,0.0038,0.9983,0.0054,0.9981,0.006,10.3,1.64,10.29,1.63
SVCA,0.9611,0.0295,0.9564,0.0326,0.9401,0.0381,2.29,0.35,2.28,0.36
KN_SVCA,0.9983,0.0055,0.9979,0.0067,0.9982,0.0058,44.92,8.39,44.86,8.38
KL_EM_SVCA,1.0,0.0,1.0,0.0,1.0,0.0,50.04,12.31,49.94,12.26
MHA250k_SVCA,1.0,0.0,1.0,0.0,1.0,0.0,318.84,12.53,318.28,12.51
PAH,0.2312,0.0389,0.1571,0.0303,0.0942,0.0226,24.05,0.46,23.99,0.46
