,NMI moyen,Erreur type NMI,AMI moyen,Erreur type AMI,ARMI moyen,Erreur type ARMI,Temps moyen (s),Erreur type Temps,Temps moyen CPU (s),Erreur type Temps CPU
FROST,0.2394,0.0459,0.1758,0.0396,0.0999,0.0316,69.71,20.75,69.42,20.64
KN,0.1193,0.0205,0.0454,0.0122,0.0019,0.0054,350.66,70.98,349.25,70.37
KL_EM,0.1655,0.0482,0.0949,0.0476,0.0352,0.0364,490.85,94.95,489.22,94.64
MHA250k,0.1296,0.0232,0.0566,0.0128,0.0075,0.0072,500.74,10.5,498.96,10.48
FROST_SVCA,0.3175,0.0439,0.2587,0.0412,0.1753,0.0359,45.99,9.27,45.83,9.25
SVCA,0.2258,0.0396,0.1595,0.0316,0.0869,0.0247,3.83,0.77,3.87,0.76
KN_SVCA,0.2692,0.0354,0.2057,0.0266,0.1261,0.0207,314.56,58.92,313.01,57.58
KL_EM_SVCA,0.3491,0.0631,0.2911,0.06,0.2084,0.0567,500.39,99.32,498.65,98.87
MHA250k_SVCA,0.2666,0.0434,0.203,0.0351,0.1237,0.0283,755.18,157.46,752.08,156.55
PAH,0.0814,0.0177,0.0056,0.0062,-0.0121,0.0041,38.87,7.13,38.73,7.09
