,NMI moyen,Erreur type NMI,AMI moyen,Erreur type AMI,ARMI moyen,Erreur type ARMI,Temps moyen (s),Erreur type Temps,Temps moyen CPU (s),Erreur type Temps CPU
FROST,0.0845,0.0153,0.0079,0.005,-0.0129,0.0037,37.39,5.9,37.33,5.9
KN,0.081,0.0172,0.0033,0.0032,-0.015,0.0046,205.97,31.53,205.6,31.43
KL_EM,0.0811,0.0168,0.0034,0.0054,-0.0153,0.0054,285.56,52.19,285.13,52.11
MHA250k,0.0802,0.0169,0.0023,0.0071,-0.0146,0.0042,312.6,11.14,311.95,11.04
FROST_SVCA,0.0792,0.0168,0.0019,0.005,-0.0148,0.0045,30.46,4.17,30.44,4.15
SVCA,0.0839,0.0137,0.0063,0.0033,-0.0134,0.0041,2.51,0.16,2.57,0.14
KN_SVCA,0.0814,0.0162,0.0037,0.0057,-0.0142,0.0045,194.13,33.22,193.85,33.14
KL_EM_SVCA,0.084,0.0158,0.0064,0.0045,-0.0137,0.0044,280.8,51.21,280.33,51.1
MHA250k_SVCA,0.0821,0.017,0.0044,0.0063,-0.0142,0.004,434.45,13.22,433.79,13.16
PAH,0.0767,0.0134,-0.0011,0.0054,-0.0125,0.0042,23.04,0.47,22.99,0.46
