,NMI moyen,Erreur type NMI,AMI moyen,Erreur type AMI,ARMI moyen,Erreur type ARMI,Temps moyen (s),Erreur type Temps,Temps moyen CPU (s),Erreur type Temps CPU
FROST,0.0617,0.0108,0.0012,0.0042,-0.0141,0.0046,31.95,7.14,31.89,7.14
KN,0.0594,0.0114,-0.0013,0.0031,-0.0147,0.0053,161.7,24.77,161.41,24.73
KL_EM,0.0599,0.0118,-0.0008,0.0026,-0.0146,0.0049,229.22,44.08,228.87,44.02
MHA250k,0.0618,0.0131,0.0012,0.0047,-0.0144,0.005,307.17,12.68,306.52,12.58
FROST_SVCA,0.0624,0.0127,0.0017,0.0036,-0.0138,0.0045,25.73,3.75,25.72,3.78
SVCA,0.0601,0.0129,-0.0007,0.0041,-0.0147,0.0042,2.37,0.05,2.4,0.08
KN_SVCA,0.0623,0.0119,0.0017,0.0046,-0.0142,0.0042,154.99,25.53,154.74,25.47
KL_EM_SVCA,0.0627,0.0126,0.0022,0.0039,-0.014,0.0045,226.27,45.07,225.98,45.04
MHA250k_SVCA,0.0598,0.0137,-0.0009,0.0037,-0.0152,0.0054,424.96,13.0,424.19,12.99
PAH,0.062,0.0122,-0.0001,0.0038,-0.0114,0.0048,23.45,1.3,23.42,1.31
