,NMI moyen,Erreur type NMI,AMI moyen,Erreur type AMI,ARMI moyen,Erreur type ARMI,Temps moyen (s),Erreur type Temps,Temps moyen CPU (s),Erreur type Temps CPU
FROST,0.7729,0.0645,0.7523,0.0677,0.7063,0.0759,29.89,7.82,29.71,7.59
KN,0.9285,0.0242,0.9197,0.0263,0.9162,0.0301,241.66,81.92,240.15,80.05
KL_EM,0.9545,0.0074,0.9472,0.0083,0.9462,0.0078,250.89,33.78,249.98,33.6
MHA250k,0.9273,0.0148,0.9168,0.0165,0.9165,0.0193,415.81,22.74,414.27,22.27
FROST_SVCA,0.9887,0.0087,0.987,0.0102,0.9805,0.0108,17.32,2.07,17.26,2.04
SVCA,0.838,0.0314,0.8237,0.0311,0.7747,0.0364,3.18,0.14,3.15,0.14
KN_SVCA,0.9948,0.0085,0.9937,0.0101,0.9937,0.0102,90.76,15.61,90.51,15.54
KL_EM_SVCA,0.9946,0.0085,0.9935,0.0102,0.9936,0.0095,115.52,27.23,115.14,27.17
MHA250k_SVCA,0.9923,0.0094,0.9911,0.0108,0.991,0.0105,525.22,20.09,523.57,20.13
PAH,0.1268,0.0163,0.0579,0.0097,0.0151,0.0049,39.38,7.97,39.22,7.81
