,NMI moyen,Erreur type NMI,AMI moyen,Erreur type AMI,ARMI moyen,Erreur type ARMI,Temps moyen (s),Erreur type Temps,Temps moyen CPU (s),Erreur type Temps CPU
FROST,0.8274,0.0201,0.7801,0.0201,0.7659,0.0212,31.9,11.27,31.79,11.12
KN,0.9178,0.0202,0.906,0.0217,0.8995,0.0254,48.35,12.43,48.23,12.3
KL_EM,0.9562,0.0127,0.9489,0.017,0.9485,0.0143,50.58,12.04,50.46,11.96
MHA250k,0.9191,0.0217,0.901,0.0224,0.8948,0.0211,188.81,24.71,188.42,24.53
FROST_SVCA,1.0,0.0,1.0,0.0,1.0,0.0,9.08,2.04,9.07,2.06
SVCA,1.0,0.0,1.0,0.0,1.0,0.0,2.19,0.27,2.19,0.28
KN_SVCA,1.0,0.0,1.0,0.0,1.0,0.0,12.2,3.14,12.14,3.13
KL_EM_SVCA,1.0,0.0,1.0,0.0,1.0,0.0,9.42,3.09,9.38,3.07
MHA250k_SVCA,1.0,0.0,1.0,0.0,1.0,0.0,191.92,25.0,191.32,24.48
PAH,1.0,0.0,1.0,0.0,1.0,0.0,20.89,3.45,20.85,3.42
