,NMI moyen,Erreur type NMI,AMI moyen,Erreur type AMI,ARMI moyen,Erreur type ARMI,Temps moyen (s),Erreur type Temps,Temps moyen CPU (s),Erreur type Temps CPU
FROST,0.617,0.0712,0.589,0.0742,0.5159,0.0799,43.25,5.24,43.11,5.24
KN,0.3583,0.1653,0.3134,0.1687,0.2438,0.1713,331.85,90.06,330.65,89.79
KL_EM,0.9421,0.0247,0.9329,0.0274,0.9321,0.0296,444.85,46.6,443.25,46.27
MHA250k,0.4643,0.1975,0.4265,0.208,0.36,0.2199,469.84,10.71,468.12,10.66
FROST_SVCA,0.8273,0.068,0.8114,0.0726,0.7583,0.0798,24.99,2.38,24.88,2.37
SVCA,0.489,0.0707,0.4506,0.0698,0.3732,0.0686,3.34,0.09,3.35,0.1
KN_SVCA,0.9546,0.0205,0.9489,0.0223,0.9406,0.0273,190.02,20.58,189.43,20.48
KL_EM_SVCA,0.9756,0.0196,0.9719,0.0218,0.9686,0.025,257.57,23.7,256.66,23.56
MHA250k_SVCA,0.9627,0.0171,0.958,0.0175,0.9508,0.0231,591.49,15.01,589.31,14.79
PAH,0.0798,0.0115,0.0166,0.0058,-0.0072,0.0036,36.16,1.11,36.04,1.1
