,NMI moyen,Erreur type NMI,AMI moyen,Erreur type AMI,ARMI moyen,Erreur type ARMI,Temps moyen (s),Erreur type Temps,Temps moyen CPU (s),Erreur type Temps CPU
FROST,0.6782,0.0313,0.6387,0.0311,0.5637,0.0344,26.17,2.83,26.11,2.81
KN,0.9115,0.0196,0.901,0.0231,0.8953,0.0229,57.17,3.77,57.07,3.78
KL_EM,0.9492,0.015,0.9425,0.016,0.9394,0.017,60.93,7.03,60.85,7.01
MHA250k,0.923,0.0203,0.9087,0.0248,0.9007,0.0256,198.52,1.71,198.12,1.71
FROST_SVCA,1.0,0.0,1.0,0.0,1.0,0.0,8.51,0.98,8.5,0.96
SVCA,1.0,0.0,1.0,0.0,1.0,0.0,2.1,0.04,2.11,0.04
KN_SVCA,1.0,0.0,1.0,0.0,1.0,0.0,20.09,4.64,20.06,4.63
KL_EM_SVCA,1.0,0.0,1.0,0.0,1.0,0.0,16.12,4.55,16.09,4.55
MHA250k_SVCA,1.0,0.0,1.0,0.0,1.0,0.0,218.64,4.14,218.22,4.07
PAH,0.9924,0.0084,0.9915,0.0091,0.9851,0.0154,21.83,2.33,21.79,2.3
