,NMI moyen,Erreur type NMI,AMI moyen,Erreur type AMI,ARMI moyen,Erreur type ARMI,Temps moyen (s),Erreur type Temps,Temps moyen CPU (s),Erreur type Temps CPU
FROST,0.7885,0.0467,0.7624,0.0475,0.7087,0.0612,19.28,3.94,19.26,3.93
KN,0.9392,0.0132,0.9302,0.013,0.9306,0.0178,80.03,12.66,79.91,12.63
KL_EM,0.9538,0.0151,0.9471,0.018,0.9467,0.015,94.61,16.9,94.47,16.86
MHA250k,0.9253,0.0171,0.9131,0.0176,0.9082,0.0209,233.27,3.77,232.85,3.74
FROST_SVCA,0.9976,0.0076,0.9971,0.009,0.9953,0.0149,10.13,2.19,10.08,2.17
SVCA,0.9922,0.0085,0.9902,0.0105,0.9854,0.0157,2.12,0.06,2.11,0.07
KN_SVCA,1.0,0.0,1.0,0.0,1.0,0.0,34.27,7.14,34.24,7.12
KL_EM_SVCA,1.0,0.0,1.0,0.0,1.0,0.0,35.96,9.22,35.9,9.18
MHA250k_SVCA,1.0,0.0,1.0,0.0,1.0,0.0,286.24,5.91,285.75,5.89
PAH,0.4811,0.1,0.429,0.1008,0.352,0.0956,24.6,0.37,24.56,0.37
